Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
6100,квартира,31.42,3 980 000,Комендантский  проспект,2.9,Приморский район,14.0,2.77,10,19
6101,квартира,70.0,9 600 000,Беговая,0.5,Приморский район,42.0,,5,12
6102,Студия,22.35,3 000 000,Комендантский  проспект,3.8,Приморский район,14.65,,13,24
6103,квартира,65.7,12 750 000,Беговая,1.2,Приморский район,36.2,2.81,14,17
6104,квартира,37.7,3 905 000,Комендантский  проспект,3.3,Приморский район,17.0,,16,19
6105,Студия,26.18,3 800 000,Комендантский  проспект,2.4,Приморский район,18.2,,19,24
6106,квартира,35.77,4 750 000,Комендантский  проспект,2.4,Приморский район,18.17,2.7,18,24
6107,квартира,32.0,4 390 000,Комендантский  проспект,4.3,Приморский район,15.0,,14,17
6108,квартира,58.6,7 000 000,Черная речка,1.3,Приморский район,48.0,,5,5
6109,квартира,47.9,5 650 000,Комендантский  проспект,3.3,Приморский район,21.8,,19,19
6110,квартира,40.7,5 950 000,Комендантский  проспект,1,Приморский район,21.8,,13,17
6111,квартира,33.0,3 500 000,Комендантский  проспект,3.8,Приморский район,17.0,,13,24
6112,квартира,52.88,5 900 000,Озерки,3.3,Приморский район,24.5,2.8,3,9
6113,квартира,35.58,4 750 000,Комендантский  проспект,2.4,Приморский район,14.1,2.7,6,24
6114,квартира,35.78,4 850 000,Комендантский  проспект,2.4,Приморский район,18.16,2.7,22,24
6115,квартира,36.46,5 100 000,Комендантский  проспект,3.7,Приморский район,17.24,,22,25
6116,Студия,25.0,3 350 000,Комендантский  проспект,3.8,Приморский район,18.0,,18,25
6117,квартира,67.6,6 150 000,Комендантский  проспект,3.3,Приморский район,40.3,,18,19
6118,квартира,54.0,7 000 000,Черная речка,0.8,Приморский район,38.8,,4,5
6119,Студия,29.31,4 050 000,Комендантский  проспект,3,Приморский район,20.58,,17,19
6120,квартира,54.0,7 000 000,Черная речка,0.8,Приморский район,36.0,2.5,4,5
6121,Студия,27.0,3 450 000,Комендантский  проспект,2,Приморский район,19.5,,5,24
6122,квартира,39.0,6 440 000,Комендантский  проспект,0.9,Приморский район,18.0,2.5,7,13
6123,квартира,61.76,6 860 000,Комендантский  проспект,3.4,Приморский район,32.28,2.64,8,17
6124,квартира,37.4,4 600 000,Комендантский  проспект,3.5,Приморский район,17.7,2.65,8,17
6125,квартира,37.0,5 258 000,Беговая,1.7,Приморский район,14.4,2.75,19,19
6126,квартира,40.0,5 950 000,Беговая,1.7,Приморский район,10.0,2.75,5,19
6127,квартира,38.0,3 840 000,Комендантский  проспект,3.2,Приморский район,17.0,,11,19
6128,квартира,43.9,6 299 000,Комендантский  проспект,3.6,Приморский район,11.88,,7,23
